id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
1,id,Halo!,ハロ,やあ！,,,カジュアル,,,挨拶,
2,id,Selamat pagi,スラマッパギ,おはようございます,,,午前中,,,挨拶,
3,id,Selamat siang,スラマッシアン,こんにちは（昼）,,,正午〜午後,,,挨拶,
4,id,Selamat sore,スラマッソレ,こんにちは（夕方）,,,夕方,,,挨拶,
5,id,Selamat malam,スラマッマラム,こんばんは,,,夜,,,挨拶,
6,id,Selamat tidur,スラマッティドゥル,おやすみなさい,,,寝る前,,,挨拶,
7,id,Sampai jumpa,サンパイジュンパ,さようなら,,,別れ,,,挨拶,
8,id,Ya,ヤー,はい,,,肯定,,,リアクション,
9,id,Tidak,ティダッ,いいえ,,,否定,,,リアクション,
10,id,Terima kasih,テリマカシ,ありがとう,,,感謝,,,挨拶,
11,id,Sama-sama,サマサマ,どういたしまして,,,返答,,,挨拶,
12,id,Maaf,マアフ,すみません,,,謝罪,,,挨拶,
13,id,Tolong,トロン,お願いします,,,お願い,,,挨拶,
14,id,Bagus!,バグス,すごい！,,,感嘆,,,リアクション,
15,id,Hebat!,ヘバット,素晴らしい！,,,称賛,,,リアクション,
16,id,Apa kabar?,アパカバル,お元気ですか？,,,挨拶,,,質問,
17,id,Baik,バイク,元気です,,,返答,,,リアクション,
18,id,Biasa saja,ビアササジャ,まあまあ,,,中立,,,リアクション,
19,id,Betul!,ブトゥル,その通り！,,,同意,,,リアクション,
20,id,Benarkah?,ブナルカ,本当に？,,,確認,,,リアクション,
21,id,Tentu saja,テントゥサジャ,もちろん,,,肯定,,,リアクション,
22,id,Nama saya...,ナマサヤ,私の名前は...,,,自己紹介,,,自己紹介,
23,id,Saya dari Jepang,サヤダリジュパン,日本出身です,,,国籍,,,自己紹介,
24,id,Saya tinggal di...,サヤティンガルディ,...に住んでいます,,,居住地,,,自己紹介,
25,id,Saya berumur ... tahun,サヤブルムル...タフン,...歳です,,,年齢,,,自己紹介,
