id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
1,es,¡Hola!,オラ,やあ！,,,カジュアル,,,挨拶,
2,es,Buenos días,ブエノスディアス,おはようございます,,,午前中,,,挨拶,
3,es,Buenas tardes,ブエナスタルデス,こんにちは,,,午後,,,挨拶,
4,es,Buenas noches,ブエナスノーチェス,こんばんは／おやすみ,,,夕方以降,,,挨拶,
5,es,Adiós,アディオス,さようなら,,,別れ,,,挨拶,
6,es,Hasta luego,アスタルエゴ,またね,,,カジュアル,,,挨拶,
7,es,Sí,シー,はい,,,肯定,,,リアクション,
8,es,No,ノー,いいえ,,,否定,,,リアクション,
9,es,Gracias,グラシアス,ありがとう,,,感謝,,,挨拶,
10,es,De nada,デナダ,どういたしまして,,,返答,,,挨拶,
11,es,Perdón,ペルドン,すみません,,,謝罪,,,挨拶,
12,es,Por favor,ポルファボール,お願いします,,,お願い,,,挨拶,
13,es,¡Genial!,ヘニアル,すごい！,,,感嘆,,,リアクション,
14,es,¡Excelente!,エクセレンテ,素晴らしい！,,,称賛,,,リアクション,
15,es,¿Cómo estás?,コモエスタス,元気？,,,カジュアル,,,質問,
16,es,Estoy bien,エストイビエン,元気だよ,,,返答,,,リアクション,
17,es,Más o menos,マスオメノス,まあまあ,,,中立,,,リアクション,
18,es,¡Exacto!,エクサクト,その通り！,,,同意,,,リアクション,
19,es,¿En serio?,エンセリオ,本当に？,,,確認,,,リアクション,
20,es,Por supuesto,ポルスプエスト,もちろん,,,肯定,,,リアクション,
21,es,Me llamo...,メジャモ,私の名前は...,,,自己紹介,,,自己紹介,
22,es,Soy de Japón,ソイデハポン,日本出身です,,,国籍,,,自己紹介,
23,es,Vivo en...,ビボエン,...に住んでいます,,,居住地,,,自己紹介,
24,es,Tengo ... años,テンゴ...アニョス,...歳です,,,年齢,,,自己紹介,
25,es,Mucho gusto,ムーチョグスト,はじめまして,,,初対面,,,自己紹介,
26,es,lunes,ルネス,月曜日,,,,,,曜日,
27,es,martes,マルテス,火曜日,,,,,,曜日,
28,es,miércoles,ミエルコレス,水曜日,,,,,,曜日,
29,es,jueves,フエベス,木曜日,,,,,,曜日,
30,es,viernes,ビエルネス,金曜日,,,,,,曜日,
31,es,sábado,サバド,土曜日,,,,,,曜日,
32,es,domingo,ドミンゴ,日曜日,,,,,,曜日,
33,es,hoy,オイ,今日,,,,,,曜日,
34,es,mañana,マニャナ,明日,,,,,,曜日,
35,es,ayer,アジェル,昨日,,,,,,曜日,
36,es,cero,セロ,0,,,,,,数字,
37,es,uno,ウノ,1,,,,,,数字,
38,es,dos,ドス,2,,,,,,数字,
39,es,tres,トレス,3,,,,,,数字,
40,es,cuatro,クアトロ,4,,,,,,数字,
41,es,cinco,シンコ,5,,,,,,数字,
42,es,seis,セイス,6,,,,,,数字,
43,es,siete,シエテ,7,,,,,,数字,
44,es,ocho,オチョ,8,,,,,,数字,
45,es,nueve,ヌエベ,9,,,,,,数字,
46,es,diez,ディエス,10,,,,,,数字,
47,es,soleado,ソレアド,晴れ,,,天気,,,天気,
48,es,nublado,ヌブラド,曇り,,,天気,,,天気,
49,es,lluvia,ジュビア,雨,,,天気,,,天気,
50,es,nieve,ニエベ,雪,,,天気,,,天気,
51,es,caliente,カリエンテ,暑い,,,気温,,,天気,
52,es,frío,フリオ,寒い,,,気温,,,天気,
53,es,primavera,プリマベラ,春,,,,,,天気,
54,es,verano,ベラノ,夏,,,,,,天気,
55,es,otoño,オトニョ,秋,,,,,,天気,
56,es,invierno,インビエルノ,冬,,,,,,天気,
57,es,comer,コメル,食べる,,,動詞原形,,,食べ物,
58,es,beber,ベベル,飲む,,,動詞原形,,,食べ物,
59,es,Tengo hambre,テンゴアンブレ,お腹すいた,,,,,,食べ物,
60,es,Tengo sed,テンゴセッド,喉が渇いた,,,,,,食べ物,
61,es,¡Buen provecho!,ブエンプロベチョ,いただきます,,,食事の挨拶,,,食べ物,
62,es,agua,アグア,水,,,,,,食べ物,
63,es,café,カフェ,コーヒー,,,,,,食べ物,
64,es,té,テ,紅茶,,,,,,食べ物,
65,es,leche,レチェ,牛乳,,,,,,食べ物,
66,es,cerveza,セルベサ,ビール,,,,,,食べ物,
67,es,vino,ビノ,ワイン,,,,,,食べ物,
68,es,pan,パン,パン,,,,,,食べ物,
69,es,queso,ケソ,チーズ,,,,,,食べ物,
70,es,carne,カルネ,肉,,,,,,食べ物,
71,es,pescado,ペスカド,魚,,,,,,食べ物,
72,es,verduras,ベルドゥラス,野菜,,,,,,食べ物,
73,es,frutas,フルータス,果物,,,,,,食べ物,
74,es,desayuno,デサユノ,朝食,,,,,,食べ物,
75,es,almuerzo,アルムエルソ,昼食,,,,,,食べ物,
76,es,cena,セナ,夕食,,,,,,食べ物,
77,es,gustar,グスタール,好き,,,動詞原形,,,好き嫌い,
78,es,Me gusta...,メグスタ,...が好き,,,1人称,,,好き嫌い,
79,es,Me encanta,メエンカンタ,大好き,,,強調,,,好き嫌い,
80,es,bueno,ブエノ,良い,,,形容詞,,,形容詞,
81,es,malo,マロ,悪い,,,形容詞,,,形容詞,
82,es,grande,グランデ,大きい,,,形容詞,,,形容詞,
83,es,pequeño,ペケーニョ,小さい,,,形容詞,,,形容詞,
84,es,bonito,ボニート,きれい,,,形容詞,,,形容詞,
85,es,caro,カロ,高い（値段）,,,形容詞,,,形容詞,
86,es,barato,バラト,安い,,,形容詞,,,形容詞,
87,es,nuevo,ヌエボ,新しい,,,形容詞,,,形容詞,
88,es,viejo,ビエホ,古い,,,形容詞,,,形容詞,
89,es,¿Qué?,ケ,何？,,,質問詞,,,質問,
90,es,¿Quién?,キエン,誰？,,,質問詞,,,質問,
91,es,¿Dónde?,ドンデ,どこ？,,,質問詞,,,質問,
92,es,¿Cuándo?,クアンド,いつ？,,,質問詞,,,質問,
93,es,¿Cómo?,コモ,どう？,,,質問詞,,,質問,
94,es,¿Cuánto?,クアント,いくつ？,,,質問詞,,,質問,
95,es,¿Por qué?,ポルケ,なぜ？,,,質問詞,,,質問,
96,es,¿Qué es esto?,ケエスエスト,これは何？,,,基本質問,,,質問,
97,es,¿Dónde está...?,ドンデエスタ,...はどこ？,,,場所質問,,,質問,
98,es,Entiendo,エンティエンド,わかりました,,,理解,,,応答,
99,es,No entiendo,ノーエンティエンド,わかりません,,,不理解,,,応答,
100,es,No hay problema,ノーアイプロブレマ,問題ないよ,,,承諾,,,応答,
101,es,perro,ペロ,犬,,,動物,,,語彙,
102,es,gato,ガト,猫,,,動物,,,語彙,
103,es,pájaro,パハロ,鳥,,,動物,,,語彙,
104,es,pez,ペス,魚,,,動物,,,語彙,
105,es,caballo,カバジョ,馬,,,動物,,,語彙,
106,es,vaca,バカ,牛,,,動物,,,語彙,
107,es,cerdo,セルド,豚,,,動物,,,語彙,
108,es,pollo,ポジョ,鶏,,,動物,,,語彙,
