id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
1,ko,안녕하세요,アンニョンハセヨ,こんにちは,,,フォーマル,,,挨拶,
2,ko,안녕,アンニョン,やあ／バイバイ,,,カジュアル,,,挨拶,
3,ko,좋은 아침,チョウンアチム,おはようございます,,,午前中,,,挨拶,
4,ko,안녕히 주무세요,アンニョンヒジュムセヨ,おやすみなさい,,,寝る前,,,挨拶,
5,ko,안녕히 가세요,アンニョンヒカセヨ,さようなら（去る人へ）,,,別れ,,,挨拶,
6,ko,안녕히 계세요,アンニョンヒケセヨ,さようなら（残る人へ）,,,別れ,,,挨拶,
7,ko,네,ネ,はい,,,肯定,,,リアクション,
8,ko,아니요,アニヨ,いいえ,,,否定,,,リアクション,
9,ko,감사합니다,カムサハムニダ,ありがとうございます,,,感謝,,,挨拶,
10,ko,고마워요,コマウォヨ,ありがとう,,,カジュアル,,,挨拶,
11,ko,천만에요,チョンマネヨ,どういたしまして,,,返答,,,挨拶,
12,ko,죄송합니다,チェソンハムニダ,すみません,,,謝罪,,,挨拶,
13,ko,괜찮아요,ケンチャナヨ,大丈夫です,,,返答,,,挨拶,
14,ko,부탁합니다,プタッカムニダ,お願いします,,,お願い,,,挨拶,
15,ko,대박!,テバッ,すごい！,,,感嘆,,,リアクション,
16,ko,멋있어요!,モシッソヨ,かっこいい！,,,称賛,,,リアクション,
17,ko,어떻게 지내세요?,オットケチネセヨ,お元気ですか？,,,挨拶,,,質問,
18,ko,잘 지내요,チャルチネヨ,元気です,,,返答,,,リアクション,
19,ko,그저 그래요,クジョクレヨ,まあまあです,,,中立,,,リアクション,
20,ko,맞아요!,マジャヨ,その通り！,,,同意,,,リアクション,
21,ko,정말요?,チョンマリョ,本当に？,,,確認,,,リアクション,
22,ko,물론이죠,ムルロニジョ,もちろん,,,肯定,,,リアクション,
23,ko,저는 ... 입니다,チョヌン...イムニダ,私は...です,,,自己紹介,,,自己紹介,
24,ko,일본 사람입니다,イルボンサラミムニダ,日本人です,,,国籍,,,自己紹介,
25,ko,...살입니다,...サリムニダ,...歳です,,,年齢,,,自己紹介,
26,ko,만나서 반갑습니다,マンナソパンガプスムニダ,はじめまして,,,初対面,,,自己紹介,
27,ko,월요일,ウォリョイル,月曜日,,,,,,曜日,
28,ko,화요일,ファヨイル,火曜日,,,,,,曜日,
29,ko,수요일,スヨイル,水曜日,,,,,,曜日,
30,ko,목요일,モギョイル,木曜日,,,,,,曜日,
31,ko,금요일,クミョイル,金曜日,,,,,,曜日,
32,ko,토요일,トヨイル,土曜日,,,,,,曜日,
33,ko,일요일,イリョイル,日曜日,,,,,,曜日,
34,ko,오늘,オヌル,今日,,,,,,曜日,
35,ko,내일,ネイル,明日,,,,,,曜日,
36,ko,어제,オジェ,昨日,,,,,,曜日,
37,ko,영,ヨン,0,,,,,,数字,
38,ko,일,イル,1,,,,,,数字,
39,ko,이,イ,2,,,,,,数字,
40,ko,삼,サム,3,,,,,,数字,
41,ko,사,サ,4,,,,,,数字,
42,ko,오,オ,5,,,,,,数字,
43,ko,육,ユッ,6,,,,,,数字,
44,ko,칠,チル,7,,,,,,数字,
45,ko,팔,パル,8,,,,,,数字,
46,ko,구,ク,9,,,,,,数字,
47,ko,십,シプ,10,,,,,,数字,
48,ko,맑음,マルグム,晴れ,,,天気,,,天気,
49,ko,흐림,フリム,曇り,,,天気,,,天気,
50,ko,비,ピ,雨,,,天気,,,天気,
51,ko,눈,ヌン,雪,,,天気,,,天気,
52,ko,더워요,トウォヨ,暑いです,,,気温,,,天気,
53,ko,추워요,チュウォヨ,寒いです,,,気温,,,天気,
54,ko,봄,ポム,春,,,,,,天気,
55,ko,여름,ヨルム,夏,,,,,,天気,
56,ko,가을,カウル,秋,,,,,,天気,
57,ko,겨울,キョウル,冬,,,,,,天気,
58,ko,먹다,モクタ,食べる,,,動詞,,,食べ物,
59,ko,마시다,マシダ,飲む,,,動詞,,,食べ物,
60,ko,배고파요,ペゴパヨ,お腹すいた,,,,,,食べ物,
61,ko,목말라요,モンマルラヨ,喉が渇いた,,,,,,食べ物,
62,ko,잘 먹겠습니다,チャルモッケッスムニダ,いただきます,,,食事の挨拶,,,食べ物,
63,ko,맛있어요,マシッソヨ,おいしいです,,,,,,食べ物,
64,ko,물,ムル,水,,,,,,食べ物,
65,ko,커피,コピ,コーヒー,,,,,,食べ物,
66,ko,차,チャ,お茶,,,,,,食べ物,
67,ko,우유,ウユ,牛乳,,,,,,食べ物,
68,ko,맥주,メクチュ,ビール,,,,,,食べ物,
69,ko,밥,パプ,ご飯,,,,,,食べ物,
70,ko,빵,パン,パン,,,,,,食べ物,
71,ko,고기,コギ,肉,,,,,,食べ物,
72,ko,생선,センソン,魚,,,,,,食べ物,
73,ko,야채,ヤチェ,野菜,,,,,,食べ物,
74,ko,과일,クァイル,果物,,,,,,食べ物,
75,ko,아침,アチム,朝食,,,,,,食べ物,
76,ko,점심,チョムシム,昼食,,,,,,食べ物,
77,ko,저녁,チョニョク,夕食,,,,,,食べ物,
78,ko,좋아해요,チョアヘヨ,好きです,,,動詞,,,好き嫌い,
79,ko,정말 좋아해요,チョンマルチョアヘヨ,大好きです,,,強調,,,好き嫌い,
80,ko,좋아요,チョアヨ,良いです,,,形容詞,,,形容詞,
81,ko,나빠요,ナッパヨ,悪いです,,,形容詞,,,形容詞,
