id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
1,de,Hallo!,ハロー,やあ！,,,カジュアルな挨拶,,,挨拶,
2,de,Guten Morgen,グーテンモルゲン,おはようございます,,,午前中,,,挨拶,
3,de,Guten Abend,グーテンアーベント,こんばんは,,,夕方以降,,,挨拶,
4,de,Gute Nacht,グーテナハト,おやすみなさい,,,寝る前,,,挨拶,
5,de,Auf Wiedersehen,アウフヴィーダーゼーエン,さようなら,,,フォーマル,,,挨拶,
6,de,Tschüss,チュース,バイバイ,,,カジュアル,,,挨拶,
7,de,Ja,ヤー,はい,,,肯定,,,リアクション,
8,de,Nein,ナイン,いいえ,,,否定,,,リアクション,
9,de,Danke,ダンケ,ありがとう,,,感謝,,,挨拶,
10,de,Bitte,ビッテ,どうぞ／お願いします,,,返答,,,挨拶,
11,de,Entschuldigung,エントシュルディグング,すみません,,,謝罪,,,挨拶,
12,de,Kein Problem,カインプロブレーム,問題ないよ,,,承諾,,,リアクション,
13,de,Toll!,トル,すごい！,,,感嘆,,,リアクション,
14,de,Wunderbar!,ヴンダーバー,素晴らしい！,,,称賛,,,リアクション,
15,de,Wie geht's?,ヴィーゲーツ,元気？,,,カジュアル,,,質問,
16,de,Mir geht's gut,ミアゲーツグート,元気だよ,,,返答,,,リアクション,
17,de,So lala,ゾーララ,まあまあ,,,中立,,,リアクション,
18,de,Genau!,ゲナウ,その通り！,,,同意,,,リアクション,
19,de,Wirklich?,ヴィルクリッヒ,本当に？,,,確認,,,リアクション,
20,de,Natürlich,ナチュアリッヒ,もちろん,,,肯定,,,リアクション,
21,de,Ich heiße...,イッヒハイセ,私の名前は...,,,自己紹介,,,自己紹介,
22,de,Ich komme aus Japan,イッヒコメアウスヤーパン,日本出身です,,,国籍,,,自己紹介,
23,de,Ich wohne in...,イッヒヴォーネイン,...に住んでいます,,,居住地,,,自己紹介,
24,de,Ich bin ... Jahre alt,イッヒビン...ヤーレアルト,...歳です,,,年齢,,,自己紹介,
25,de,Freut mich,フロイトミッヒ,はじめまして,,,初対面,,,自己紹介,
26,de,Montag,モンターク,月曜日,,,,,,曜日,
27,de,Dienstag,ディーンスターク,火曜日,,,,,,曜日,
28,de,Mittwoch,ミットヴォッホ,水曜日,,,,,,曜日,
29,de,Donnerstag,ドナースターク,木曜日,,,,,,曜日,
30,de,Freitag,フライターク,金曜日,,,,,,曜日,
31,de,Samstag,ザムスターク,土曜日,,,,,,曜日,
32,de,Sonntag,ゾンターク,日曜日,,,,,,曜日,
33,de,heute,ホイテ,今日,,,,,,曜日,
34,de,morgen,モルゲン,明日,,,,,,曜日,
35,de,gestern,ゲスタン,昨日,,,,,,曜日,
36,de,null,ヌル,0,,,,,,数字,
37,de,eins,アインス,1,,,,,,数字,
38,de,zwei,ツヴァイ,2,,,,,,数字,
39,de,drei,ドライ,3,,,,,,数字,
40,de,vier,フィーア,4,,,,,,数字,
41,de,fünf,フュンフ,5,,,,,,数字,
42,de,sechs,ゼックス,6,,,,,,数字,
43,de,sieben,ズィーベン,7,,,,,,数字,
44,de,acht,アハト,8,,,,,,数字,
45,de,neun,ノイン,9,,,,,,数字,
46,de,zehn,ツェーン,10,,,,,,数字,
47,de,sonnig,ゾニヒ,晴れ,,,天気,,,天気,
48,de,bewölkt,ベヴェルクト,曇り,,,天気,,,天気,
49,de,Regen,レーゲン,雨,,,天気,,,天気,
50,de,Schnee,シュネー,雪,,,天気,,,天気,
51,de,warm,ヴァルム,暖かい,,,気温,,,天気,
52,de,kalt,カルト,寒い,,,気温,,,天気,
53,de,heiß,ハイス,暑い,,,気温,,,天気,
54,de,Frühling,フリューリング,春,,,,,,天気,
55,de,Sommer,ゾマー,夏,,,,,,天気,
56,de,Herbst,ヘルプスト,秋,,,,,,天気,
57,de,Winter,ヴィンター,冬,,,,,,天気,
58,de,essen,エッセン,食べる,,,動詞原形,,,食べ物,
59,de,trinken,トリンケン,飲む,,,動詞原形,,,食べ物,
60,de,Ich habe Hunger,イッヒハーベフンガー,お腹すいた,,,,,,食べ物,
61,de,Ich habe Durst,イッヒハーベドゥルスト,喉が渇いた,,,,,,食べ物,
62,de,Guten Appetit!,グーテンアペティート,いただきます,,,食事の挨拶,,,食べ物,
63,de,Lecker!,レッカー,おいしい！,,,,,,食べ物,
64,de,Wasser,ヴァッサー,水,,,,,,食べ物,
65,de,Kaffee,カフェ,コーヒー,,,,,,食べ物,
66,de,Tee,テー,紅茶,,,,,,食べ物,
67,de,Milch,ミルヒ,牛乳,,,,,,食べ物,
68,de,Bier,ビア,ビール,,,,,,食べ物,
69,de,Wein,ヴァイン,ワイン,,,,,,食べ物,
70,de,Brot,ブロート,パン,,,,,,食べ物,
71,de,Käse,ケーゼ,チーズ,,,,,,食べ物,
72,de,Fleisch,フライシュ,肉,,,,,,食べ物,
73,de,Fisch,フィッシュ,魚,,,,,,食べ物,
74,de,Gemüse,ゲミューゼ,野菜,,,,,,食べ物,
75,de,Obst,オプスト,果物,,,,,,食べ物,
76,de,Frühstück,フリューシュテュック,朝食,,,,,,食べ物,
77,de,Mittagessen,ミッタークエッセン,昼食,,,,,,食べ物,
78,de,Abendessen,アーベントエッセン,夕食,,,,,,食べ物,
79,de,mögen,メーゲン,好き,,,動詞原形,,,好き嫌い,
80,de,Ich mag...,イッヒマーク,...が好き,,,1人称,,,好き嫌い,
81,de,Ich liebe,イッヒリーベ,大好き,,,強調,,,好き嫌い,
82,de,gut,グート,良い,,,形容詞,,,形容詞,
83,de,schlecht,シュレヒト,悪い,,,形容詞,,,形容詞,
84,de,groß,グロース,大きい,,,形容詞,,,形容詞,
85,de,klein,クライン,小さい,,,形容詞,,,形容詞,
86,de,schön,シェーン,きれい,,,形容詞,,,形容詞,
