id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
1,fr,Salut!,サリュ,やあ！,,,カジュアル,,,挨拶,
2,fr,Bonjour,ボンジュール,こんにちは,,,フォーマル,,,挨拶,
3,fr,Bonsoir,ボンソワール,こんばんは,,,夕方以降,,,挨拶,
4,fr,Bonne nuit,ボンヌニュイ,おやすみなさい,,,寝る前,,,挨拶,
5,fr,Au revoir,オルヴォワール,さようなら,,,フォーマル,,,挨拶,
6,fr,À bientôt,アビアント,またね,,,カジュアル,,,挨拶,
7,fr,Oui,ウィ,はい,,,肯定,,,リアクション,
8,fr,Non,ノン,いいえ,,,否定,,,リアクション,
9,fr,Merci,メルシー,ありがとう,,,感謝,,,挨拶,
10,fr,De rien,ドゥリアン,どういたしまして,,,返答,,,挨拶,
11,fr,Excusez-moi,エクスキューゼモワ,すみません,,,謝罪,,,挨拶,
12,fr,S'il vous plaît,シルヴプレ,お願いします,,,お願い,,,挨拶,
13,fr,Génial!,ジェニアル,すごい！,,,感嘆,,,リアクション,
14,fr,Magnifique!,マニフィーク,素晴らしい！,,,称賛,,,リアクション,
15,fr,Comment allez-vous?,コマンタレヴ,お元気ですか？,,,フォーマル,,,質問,
16,fr,Ça va?,サヴァ,元気？,,,カジュアル,,,質問,
17,fr,Ça va bien,サヴァビアン,元気だよ,,,返答,,,リアクション,
18,fr,Comme ci comme ça,コムシコムサ,まあまあ,,,中立,,,リアクション,
19,fr,Exactement!,エグザクトマン,その通り！,,,同意,,,リアクション,
20,fr,Vraiment?,ヴレマン,本当に？,,,確認,,,リアクション,
21,fr,Bien sûr,ビアンシュール,もちろん,,,肯定,,,リアクション,
22,fr,Je m'appelle...,ジュマペル,私の名前は...,,,自己紹介,,,自己紹介,
23,fr,Je viens du Japon,ジュヴィアンデュジャポン,日本出身です,,,国籍,,,自己紹介,
24,fr,J'habite à...,ジャビタ,...に住んでいます,,,居住地,,,自己紹介,
25,fr,J'ai ... ans,ジェ...アン,...歳です,,,年齢,,,自己紹介,
26,fr,Enchanté,アンシャンテ,はじめまして,,,初対面,,,自己紹介,
27,fr,lundi,ランディ,月曜日,,,,,,曜日,
28,fr,mardi,マルディ,火曜日,,,,,,曜日,
29,fr,mercredi,メルクルディ,水曜日,,,,,,曜日,
30,fr,jeudi,ジュディ,木曜日,,,,,,曜日,
31,fr,vendredi,ヴァンドルディ,金曜日,,,,,,曜日,
32,fr,samedi,サムディ,土曜日,,,,,,曜日,
33,fr,dimanche,ディマンシュ,日曜日,,,,,,曜日,
34,fr,aujourd'hui,オジュルデュイ,今日,,,,,,曜日,
35,fr,demain,ドゥマン,明日,,,,,,曜日,
36,fr,hier,イエール,昨日,,,,,,曜日,
37,fr,zéro,ゼロ,0,,,,,,数字,
38,fr,un,アン,1,,,,,,数字,
39,fr,deux,ドゥ,2,,,,,,数字,
40,fr,trois,トロワ,3,,,,,,数字,
41,fr,quatre,キャトル,4,,,,,,数字,
42,fr,cinq,サンク,5,,,,,,数字,
43,fr,six,シス,6,,,,,,数字,
44,fr,sept,セット,7,,,,,,数字,
45,fr,huit,ユイット,8,,,,,,数字,
46,fr,neuf,ヌフ,9,,,,,,数字,
47,fr,dix,ディス,10,,,,,,数字,
48,fr,ensoleillé,アンソレイエ,晴れ,,,天気,,,天気,
49,fr,nuageux,ニュアジュー,曇り,,,天気,,,天気,
50,fr,pluie,プリュイ,雨,,,天気,,,天気,
51,fr,neige,ネージュ,雪,,,天気,,,天気,
52,fr,chaud,ショー,暖かい／暑い,,,気温,,,天気,
53,fr,froid,フロワ,寒い,,,気温,,,天気,
54,fr,printemps,プランタン,春,,,,,,天気,
55,fr,été,エテ,夏,,,,,,天気,
56,fr,automne,オトンヌ,秋,,,,,,天気,
57,fr,hiver,イヴェール,冬,,,,,,天気,
58,fr,manger,マンジェ,食べる,,,動詞原形,,,食べ物,
59,fr,boire,ボワール,飲む,,,動詞原形,,,食べ物,
60,fr,J'ai faim,ジェファン,お腹すいた,,,,,,食べ物,
61,fr,J'ai soif,ジェソワフ,喉が渇いた,,,,,,食べ物,
62,fr,Bon appétit!,ボナペティ,いただきます,,,食事の挨拶,,,食べ物,
63,fr,C'est délicieux,セデリシュー,おいしい！,,,,,,食べ物,
64,fr,eau,オー,水,,,,,,食べ物,
65,fr,café,カフェ,コーヒー,,,,,,食べ物,
66,fr,thé,テ,紅茶,,,,,,食べ物,
67,fr,lait,レ,牛乳,,,,,,食べ物,
68,fr,bière,ビエール,ビール,,,,,,食べ物,
69,fr,vin,ヴァン,ワイン,,,,,,食べ物,
70,fr,pain,パン,パン,,,,,,食べ物,
71,fr,fromage,フロマージュ,チーズ,,,,,,食べ物,
72,fr,viande,ヴィアンド,肉,,,,,,食べ物,
73,fr,poisson,ポワソン,魚,,,,,,食べ物,
74,fr,légumes,レギューム,野菜,,,,,,食べ物,
75,fr,fruits,フリュイ,果物,,,,,,食べ物,
76,fr,petit déjeuner,プティデジュネ,朝食,,,,,,食べ物,
77,fr,déjeuner,デジュネ,昼食,,,,,,食べ物,
78,fr,dîner,ディネ,夕食,,,,,,食べ物,
79,fr,aimer,エメ,好き,,,動詞原形,,,好き嫌い,
80,fr,J'aime...,ジェム,...が好き,,,1人称,,,好き嫌い,
81,fr,J'adore,ジャドール,大好き,,,強調,,,好き嫌い,
82,fr,bon,ボン,良い,,,形容詞,,,形容詞,
83,fr,mauvais,モヴェ,悪い,,,形容詞,,,形容詞,
84,fr,grand,グラン,大きい,,,形容詞,,,形容詞,
85,fr,petit,プティ,小さい,,,形容詞,,,形容詞,
86,fr,beau,ボー,きれい,,,形容詞,,,形容詞,
87,fr,cher,シェール,高い（値段）,,,形容詞,,,形容詞,
88,fr,nouveau,ヌヴォー,新しい,,,形容詞,,,形容詞,
89,fr,vieux,ヴュー,古い,,,形容詞,,,形容詞,
90,fr,Quoi?,クワ,何？,,,質問詞,,,質問,
91,fr,Qui?,キ,誰？,,,質問詞,,,質問,
92,fr,Où?,ウ,どこ？,,,質問詞,,,質問,
93,fr,Quand?,カン,いつ？,,,質問詞,,,質問,
94,fr,Comment?,コマン,どう？,,,質問詞,,,質問,
95,fr,Combien?,コンビアン,いくつ？,,,質問詞,,,質問,
96,fr,Pourquoi?,プルクワ,なぜ？,,,質問詞,,,質問,
97,fr,Qu'est-ce que c'est?,ケスクセ,これは何？,,,基本質問,,,質問,
98,fr,Où est...?,ウエ,...はどこ？,,,場所質問,,,質問,
99,fr,Je comprends,ジュコンプラン,わかりました,,,理解,,,応答,
100,fr,Je ne comprends pas,ジュヌコンプランパ,わかりません,,,不理解,,,応答,
101,fr,Pas de problème,パドプロブレム,問題ないよ,,,承諾,,,応答,
102,fr,chien,シアン,犬,,,動物,,,語彙,
103,fr,chat,シャ,猫,,,動物,,,語彙,
104,fr,oiseau,ワゾー,鳥,,,動物,,,語彙,
105,fr,cheval,シュヴァル,馬,,,動物,,,語彙,
106,fr,vache,ヴァッシュ,牛,,,動物,,,語彙,
107,fr,cochon,コション,豚,,,動物,,,語彙,
108,fr,poulet,プレ,鶏,,,動物,,,語彙,
109,fr,ours,ウルス,熊,,,動物,,,語彙,
110,fr,lion,リオン,ライオン,,,動物,,,語彙,
111,fr,éléphant,エレファン,象,,,動物,,,語彙,
112,fr,souris,スリ,ねずみ,,,動物,,,語彙,
113,fr,mère,メール,母,,,家族,,,家族,
114,fr,père,ペール,父,,,家族,,,家族,
115,fr,frère,フレール,兄弟,,,家族,,,家族,
116,fr,sœur,スール,姉妹,,,家族,,,家族,
117,fr,fils,フィス,息子,,,家族,,,家族,
118,fr,fille,フィーユ,娘,,,家族,,,家族,
119,fr,grand-père,グランペール,祖父,,,家族,,,家族,
120,fr,grand-mère,グランメール,祖母,,,家族,,,家族,
121,fr,mari,マリ,夫,,,家族,,,家族,
122,fr,femme,ファム,妻,,,家族,,,家族,
123,fr,oncle,オンクル,伯父,,,家族,,,家族,
124,fr,tante,タント,伯母,,,家族,,,家族,
125,fr,cousin,クザン,いとこ（男）,,,家族,,,家族,
126,fr,cousine,クジーヌ,いとこ（女）,,,家族,,,家族,
127,fr,ami,アミ,友達（男）,,,関係,,,人間関係,
128,fr,amie,アミー,友達（女）,,,関係,,,人間関係,
129,fr,garçon,ギャルソン,男の子,,,人,,,人間関係,
130,fr,fille,フィーユ,女の子,,,人,,,人間関係,
131,fr,homme,オム,男性,,,人,,,人間関係,
132,fr,femme,ファム,女性,,,人,,,人間関係,
133,fr,maison,メゾン,家,,,場所,,,場所,
134,fr,appartement,アパルトマン,アパート,,,場所,,,場所,
135,fr,bureau,ビューロー,オフィス,,,場所,,,場所,
136,fr,école,エコール,学校,,,場所,,,場所,
137,fr,université,ユニヴェルシテ,大学,,,場所,,,場所,
138,fr,hôpital,オピタル,病院,,,場所,,,場所,
139,fr,restaurant,レストラン,レストラン,,,場所,,,場所,
140,fr,magasin,マガザン,店,,,場所,,,場所,
141,fr,supermarché,シュペルマルシェ,スーパー,,,場所,,,場所,
142,fr,bibliothèque,ビブリオテーク,図書館,,,場所,,,場所,
143,fr,gare,ガール,駅,,,場所,,,場所,
144,fr,aéroport,アエロポール,空港,,,場所,,,場所,
145,fr,hôtel,オテル,ホテル,,,場所,,,場所,
146,fr,banque,バンク,銀行,,,場所,,,場所,
147,fr,église,エグリーズ,教会,,,場所,,,場所,
148,fr,parc,パルク,公園,,,場所,,,場所,
149,fr,plage,プラージュ,ビーチ,,,場所,,,場所,
150,fr,montagne,モンターニュ,山,,,自然,,,自然,
151,fr,rivière,リヴィエール,川,,,自然,,,自然,
152,fr,mer,メール,海,,,自然,,,自然,
153,fr,lac,ラック,湖,,,自然,,,自然,
154,fr,arbre,アルブル,木,,,自然,,,自然,
155,fr,fleur,フルール,花,,,自然,,,自然,
156,fr,soleil,ソレイユ,太陽,,,自然,,,自然,
157,fr,lune,リュンヌ,月,,,自然,,,自然,
158,fr,étoile,エトワール,星,,,自然,,,自然,
159,fr,ciel,シエル,空,,,自然,,,自然,
160,fr,terre,テール,地球,,,自然,,,自然,
161,fr,rouge,ルージュ,赤,,,色,,,色,
162,fr,bleu,ブルー,青,,,色,,,色,
163,fr,vert,ヴェール,緑,,,色,,,色,
164,fr,jaune,ジョーヌ,黄色,,,色,,,色,
165,fr,blanc,ブラン,白,,,色,,,色,
166,fr,noir,ノワール,黒,,,色,,,色,
167,fr,marron,マロン,茶色,,,色,,,色,
168,fr,orange,オランジュ,オレンジ,,,色,,,色,
169,fr,rose,ローズ,ピンク,,,色,,,色,
170,fr,violet,ヴィオレ,紫,,,色,,,色,
171,fr,gris,グリ,灰色,,,色,,,色,
172,fr,aller,アレ,行く,,,動詞,,,動詞,
173,fr,venir,ヴニール,来る,,,動詞,,,動詞,
174,fr,travailler,トラヴァイエ,働く,,,動詞,,,動詞,
175,fr,étudier,エチュディエ,勉強する,,,動詞,,,動詞,
176,fr,lire,リール,読む,,,動詞,,,動詞,
177,fr,écrire,エクリール,書く,,,動詞,,,動詞,
178,fr,parler,パルレ,話す,,,動詞,,,動詞,
179,fr,écouter,エクテ,聞く,,,動詞,,,動詞,
180,fr,voir,ヴォワール,見る,,,動詞,,,動詞,
181,fr,acheter,アシュテ,買う,,,動詞,,,動詞,
182,fr,vendre,ヴァンドル,売る,,,動詞,,,動詞,
183,fr,dormir,ドルミール,寝る,,,動詞,,,動詞,
184,fr,se réveiller,スレヴェイエ,起きる,,,動詞,,,動詞,
185,fr,courir,クリール,走る,,,動詞,,,動詞,
186,fr,nager,ナジェ,泳ぐ,,,動詞,,,動詞,
187,fr,danser,ダンセ,踊る,,,動詞,,,動詞,
188,fr,chanter,シャンテ,歌う,,,動詞,,,動詞,
189,fr,jouer,ジュエ,遊ぶ,,,動詞,,,動詞,
190,fr,cuisiner,キュイジネ,料理する,,,動詞,,,動詞,
191,fr,tête,テット,頭,,,体,,,体,
192,fr,visage,ヴィザージュ,顔,,,体,,,体,
193,fr,œil,ウイユ,目,,,体,,,体,
194,fr,oreille,オレイユ,耳,,,体,,,体,
195,fr,nez,ネ,鼻,,,体,,,体,
196,fr,bouche,ブーシュ,口,,,体,,,体,
197,fr,dent,ダン,歯,,,体,,,体,
198,fr,langue,ラング,舌,,,体,,,体,
199,fr,main,マン,手,,,体,,,体,
200,fr,doigt,ドワ,指,,,体,,,体,
201,fr,bras,ブラ,腕,,,体,,,体,
202,fr,jambe,ジャンブ,足,,,体,,,体,
203,fr,pied,ピエ,足（先）,,,体,,,体,
204,fr,cœur,クール,心臓,,,体,,,体,
205,fr,estomac,エストマ,胃,,,体,,,体,
206,fr,vingt,ヴァン,20,,,数字,,,数字,
207,fr,trente,トラント,30,,,数字,,,数字,
208,fr,quarante,カラント,40,,,数字,,,数字,
209,fr,cinquante,サンカント,50,,,数字,,,数字,
210,fr,cent,サン,100,,,数字,,,数字,
211,fr,mille,ミル,1000,,,数字,,,数字,
212,fr,janvier,ジャンヴィエ,1月,,,月,,,月,
213,fr,février,フェヴリエ,2月,,,月,,,月,
214,fr,mars,マルス,3月,,,月,,,月,
215,fr,avril,アヴリル,4月,,,月,,,月,
216,fr,mai,メ,5月,,,月,,,月,
217,fr,juin,ジュアン,6月,,,月,,,月,
218,fr,juillet,ジュイエ,7月,,,月,,,月,
219,fr,août,ウット,8月,,,月,,,月,
220,fr,septembre,セプタンブル,9月,,,月,,,月,
221,fr,octobre,オクトーブル,10月,,,月,,,月,
222,fr,novembre,ノヴァンブル,11月,,,月,,,月,
223,fr,décembre,デサンブル,12月,,,月,,,月,
224,fr,Je prends ça,ジュプランサ,これを下さい,,,ショッピング,,,買い物,
225,fr,C'est combien?,セコンビアン,いくらですか？,,,ショッピング,,,買い物,
226,fr,C'est trop cher,セトロシェール,高すぎる,,,ショッピング,,,買い物,
227,fr,Avez-vous...?,アヴェヴ,...ありますか？,,,ショッピング,,,買い物,
228,fr,L'addition s'il vous plaît,ラディシオンシルヴプレ,お会計お願いします,,,レストラン,,,買い物,
229,fr,Pouvez-vous m'aider?,プヴェヴメデ,助けてもらえますか？,,,依頼,,,依頼,
230,fr,Je voudrais...,ジュヴドレ,...したいです,,,願望,,,依頼,
231,fr,Puis-je...?,ピュイジュ,...してもいいですか？,,,許可,,,依頼,
232,fr,Quelle heure est-il?,ケルールエティル,何時ですか？,,,時間,,,時間,
233,fr,Il est ... heures,イレ...ウール,...時です,,,時間,,,時間,
234,fr,après-demain,アプレドゥマン,明後日,,,時間,,,時間,
235,fr,avant-hier,アヴァンイエール,おととい,,,時間,,,時間,
236,fr,semaine,スメンヌ,週,,,時間,,,時間,
237,fr,mois,モワ,月,,,時間,,,時間,
238,fr,an,アン,年,,,時間,,,時間,
239,fr,maintenant,マントナン,今,,,時間,,,時間,
240,fr,plus tard,プリュタール,後で,,,時間,,,時間,
241,fr,avant,アヴァン,前に,,,時間,,,時間,
242,fr,tôt,トー,早い,,,時間,,,時間,
243,fr,tard,タール,遅い,,,時間,,,時間,
244,fr,gauche,ゴーシュ,左,,,方向,,,方向,
245,fr,droite,ドロワット,右,,,方向,,,方向,
246,fr,tout droit,トゥドロワ,まっすぐ,,,方向,,,方向,
247,fr,près,プレ,近い,,,方向,,,方向,
248,fr,loin,ロワン,遠い,,,方向,,,方向,
249,fr,ici,イシ,ここ,,,方向,,,方向,
250,fr,là-bas,ラバ,あそこ,,,方向,,,方向,
