id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
1,en,Hi!,ハイ,やあ！,,,カジュアルな挨拶,,,挨拶,
2,en,Good morning,グッドモーニング,おはようございます,,,午前中のフォーマル,,,挨拶,
3,en,Good evening,グッドイブニング,こんばんは,,,夕方以降,,,挨拶,
4,en,Good night,グッドナイト,おやすみなさい,,,寝る前,,,挨拶,
5,en,Goodbye,グッドバイ,さようなら,,,フォーマルな別れ,,,挨拶,
6,en,See you,シーユー,またね,,,カジュアルな別れ,,,挨拶,
7,en,Take care,テイクケア,気をつけて,,,別れ際,,,挨拶,
8,en,Yes,イエス,はい,,,肯定,,,リアクション,
9,en,No,ノー,いいえ,,,否定,,,リアクション,
10,en,Thank you,サンキュー,ありがとう,,,感謝,,,挨拶,
11,en,You're welcome,ユアウェルカム,どういたしまして,,,返答,,,挨拶,
12,en,Excuse me,エクスキューズミー,すみません,,,声かけ・謝罪,,,挨拶,
13,en,No problem,ノープロブレム,問題ないよ,,,承諾,,,リアクション,
14,en,Please,プリーズ,お願いします,,,お願い,,,挨拶,
15,en,Great!,グレイト,すごい！,,,感嘆,,,リアクション,
16,en,Excellent!,エクセレント,素晴らしい！,,,称賛,,,リアクション,
17,en,Amazing!,アメイジング,驚くべき！,,,称賛,,,リアクション,
18,en,Bravo!,ブラボー,ブラボー！,,,拍手,,,リアクション,
19,en,Oh my!,オーマイ,おやおや！,,,驚き,,,リアクション,
20,en,How are you?,ハウアーユー,元気？,,,カジュアル,,,質問,
21,en,I'm fine,アイムファイン,元気だよ,,,返答,,,リアクション,
22,en,So-so,ソーソー,まあまあ,,,中立の返答,,,リアクション,
23,en,Not bad,ノットバッド,悪くない,,,返答,,,リアクション,
24,en,What's up?,ワッツアップ,どう？,,,カジュアル,,,質問,
25,en,Nothing new,ナッシングニュー,特にないよ,,,返答,,,リアクション,
26,en,Exactly!,エグザクトリー,その通り！,,,同意,,,リアクション,
27,en,Really?,リアリー,マジ？,,,確認,,,リアクション,
28,en,I see,アイシー,なるほど,,,理解,,,リアクション,
29,en,Right!,ライト,その通り！,,,同意,,,リアクション,
30,en,I agree,アイアグリー,同意します,,,同意,,,リアクション,
31,en,Seriously?,シリアスリー,本当に？,,,確認,,,リアクション,
32,en,Of course,オフコース,もちろん,,,肯定,,,リアクション,
33,en,My name is...,マイネームイズ,私の名前は...,,,自己紹介,,,自己紹介,
34,en,I'm called...,アイムコールド,私は...と呼ばれています,,,自己紹介,,,自己紹介,
35,en,I'm from Japan,アイムフロムジャパン,日本出身です,,,国籍,,,自己紹介,
36,en,I live in...,アイリブイン,...に住んでいます,,,居住地,,,自己紹介,
37,en,I'm ... years old,アイム...イヤーズオールド,...歳です,,,年齢,,,自己紹介,
38,en,I work as...,アイワークアズ,職業は...です,,,職業,,,自己紹介,
39,en,I'm a student,アイマスチューデント,学生です,,,学生,,,自己紹介,
40,en,Nice to meet you,ナイストゥーミートユー,はじめまして,,,初対面,,,自己紹介,
41,en,Pleased to meet you,プリーズドトゥーミートユー,お会いできて嬉しい,,,初対面,,,自己紹介,
42,en,I speak a little English,アイスピークアリトルイングリッシュ,少し英語を話します,,,言語能力,,,自己紹介,
43,en,I'm learning English,アイムラーニングイングリッシュ,英語を勉強しています,,,学習,,,自己紹介,
44,en,Monday,マンデー,月曜日,,,,,,曜日,
45,en,Tuesday,チューズデー,火曜日,,,,,,曜日,
46,en,Wednesday,ウェンズデー,水曜日,,,,,,曜日,
47,en,Thursday,サーズデー,木曜日,,,,,,曜日,
48,en,Friday,フライデー,金曜日,,,,,,曜日,
49,en,Saturday,サタデー,土曜日,,,,,,曜日,
50,en,Sunday,サンデー,日曜日,,,,,,曜日,
51,en,January,ジャニュアリー,1月,,,,,,月,
52,en,February,フェブラリー,2月,,,,,,月,
53,en,March,マーチ,3月,,,,,,月,
54,en,April,エイプリル,4月,,,,,,月,
55,en,May,メイ,5月,,,,,,月,
56,en,June,ジューン,6月,,,,,,月,
57,en,July,ジュライ,7月,,,,,,月,
58,en,August,オーガスト,8月,,,,,,月,
59,en,September,セプテンバー,9月,,,,,,月,
60,en,October,オクトーバー,10月,,,,,,月,
61,en,November,ノーベンバー,11月,,,,,,月,
62,en,December,ディセンバー,12月,,,,,,月,
63,en,today,トゥデイ,今日,,,,,,曜日,
64,en,tomorrow,トゥモロー,明日,,,,,,曜日,
65,en,yesterday,イエスタデイ,昨日,,,,,,曜日,
66,en,It's cold in January,イッツコールドインジャニュアリー,1月は寒い,,,例文,,,曜日,
67,en,What day is today?,ワットデイイズトゥデイ,今日は何曜日？,,,質問,,,曜日,
68,en,zero,ゼロ,0,,,,,,数字,
69,en,one,ワン,1,,,,,,数字,
70,en,two,トゥー,2,,,,,,数字,
71,en,three,スリー,3,,,,,,数字,
72,en,four,フォー,4,,,,,,数字,
73,en,five,ファイブ,5,,,,,,数字,
74,en,six,シックス,6,,,,,,数字,
75,en,seven,セブン,7,,,,,,数字,
76,en,eight,エイト,8,,,,,,数字,
77,en,nine,ナイン,9,,,,,,数字,
78,en,ten,テン,10,,,,,,数字,
79,en,eleven,イレブン,11,,,,,,数字,
80,en,twelve,トゥエルブ,12,,,,,,数字,
81,en,thirteen,サーティーン,13,,,,,,数字,
82,en,fourteen,フォーティーン,14,,,,,,数字,
83,en,fifteen,フィフティーン,15,,,,,,数字,
84,en,sixteen,シックスティーン,16,,,,,,数字,
85,en,seventeen,セブンティーン,17,,,,,,数字,
86,en,eighteen,エイティーン,18,,,,,,数字,
87,en,nineteen,ナインティーン,19,,,,,,数字,
88,en,twenty,トゥエンティ,20,,,,,,数字,
89,en,thirty,サーティ,30,,,,,,数字,
90,en,hundred,ハンドレッド,100,,,,,,数字,
91,en,first,ファースト,1番目の,,,序数,,,数字,
92,en,second,セカンド,2番目の,,,序数,,,数字,
93,en,third,サード,3番目の,,,序数,,,数字,
94,en,tenth,テンス,10番目の,,,序数,,,数字,
95,en,sunny,サニー,晴れ,,,天気,,,天気,
96,en,cloudy,クラウディ,曇り,,,天気,,,天気,
97,en,rain,レイン,雨,,,天気,,,天気,
98,en,snow,スノー,雪,,,天気,,,天気,
99,en,It's raining,イッツレイニング,雨が降っている,,,天気の文,,,天気,
100,en,It's snowing,イッツスノーイング,雪が降っている,,,天気の文,,,天気,
101,en,It's warm,イッツウォーム,暖かい,,,気温,,,天気,
102,en,It's cold,イッツコールド,寒い,,,気温,,,天気,
103,en,It's hot,イッツホット,暑い,,,気温,,,天気,
104,en,spring,スプリング,春,,,,,,天気,
105,en,summer,サマー,夏,,,,,,天気,
106,en,autumn,オータム,秋,,,,,,天気,
107,en,winter,ウィンター,冬,,,,,,天気,
108,en,How's the weather?,ハウズザウェザー,天気はどう？,,,質問,,,天気,
109,en,to eat,トゥーイート,食べる,,,動詞原形,,,食べ物,
110,en,to drink,トゥードリンク,飲む,,,動詞原形,,,食べ物,
111,en,I'm hungry,アイムハングリー,お腹すいた,,,,,,食べ物,
112,en,I'm thirsty,アイムサースティ,喉が渇いた,,,,,,食べ物,
113,en,Enjoy your meal!,エンジョイユアミール,いただきます／召し上がれ,,,食事の挨拶,,,食べ物,
114,en,It's delicious,イッツデリシャス,おいしい,,,,,,食べ物,
115,en,water,ウォーター,水,,,,,,食べ物,
116,en,coffee,コーヒー,コーヒー,,,,,,食べ物,
117,en,tea,ティー,紅茶,,,,,,食べ物,
118,en,milk,ミルク,牛乳,,,,,,食べ物,
119,en,beer,ビアー,ビール,,,,,,食べ物,
120,en,wine,ワイン,ワイン,,,,,,食べ物,
121,en,juice,ジュース,ジュース,,,,,,食べ物,
122,en,bread,ブレッド,パン,,,,,,食べ物,
123,en,cheese,チーズ,チーズ,,,,,,食べ物,
124,en,meat,ミート,肉,,,,,,食べ物,
125,en,fish,フィッシュ,魚,,,,,,食べ物,
126,en,vegetables,ベジタブルズ,野菜,,,,,,食べ物,
127,en,fruits,フルーツ,果物,,,,,,食べ物,
128,en,breakfast,ブレックファスト,朝食,,,,,,食べ物,
129,en,lunch,ランチ,昼食,,,,,,食べ物,
130,en,dinner,ディナー,夕食,,,,,,食べ物,
131,en,to like,トゥーライク,好き,,,動詞原形,,,好き嫌い,
