id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
1,zh,你好,ニーハオ,こんにちは,,,一般的な挨拶,,,挨拶,
2,zh,早上好,ザオシャンハオ,おはようございます,,,午前中,,,挨拶,
3,zh,晚上好,ワンシャンハオ,こんばんは,,,夜,,,挨拶,
4,zh,晚安,ワンアン,おやすみなさい,,,寝る前,,,挨拶,
5,zh,再见,ザイジエン,さようなら,,,別れ,,,挨拶,
6,zh,拜拜,バイバイ,バイバイ,,,カジュアル,,,挨拶,
7,zh,是,シー,はい,,,肯定,,,リアクション,
8,zh,不是,ブーシー,いいえ,,,否定,,,リアクション,
9,zh,谢谢,シエシエ,ありがとう,,,感謝,,,挨拶,
10,zh,不客气,ブークーチー,どういたしまして,,,返答,,,挨拶,
11,zh,对不起,ドゥイブーチー,すみません,,,謝罪,,,挨拶,
12,zh,没关系,メイグアンシー,大丈夫です,,,返答,,,挨拶,
13,zh,请,チン,お願いします,,,お願い,,,挨拶,
14,zh,太棒了!,タイバンラ,すごい！,,,感嘆,,,リアクション,
15,zh,太好了!,タイハオラ,素晴らしい！,,,称賛,,,リアクション,
16,zh,你好吗?,ニーハオマ,お元気ですか？,,,挨拶,,,質問,
17,zh,我很好,ウォーヘンハオ,元気です,,,返答,,,リアクション,
18,zh,马马虎虎,マーマーフーフー,まあまあ,,,中立,,,リアクション,
19,zh,对!,ドゥイ,その通り！,,,同意,,,リアクション,
20,zh,真的吗?,ジェンダマ,本当に？,,,確認,,,リアクション,
21,zh,当然,ダンラン,もちろん,,,肯定,,,リアクション,
22,zh,我叫...,ウォージャオ,私の名前は...,,,自己紹介,,,自己紹介,
23,zh,我是日本人,ウォーシーリーベンレン,日本人です,,,国籍,,,自己紹介,
24,zh,我住在...,ウォージューザイ,...に住んでいます,,,居住地,,,自己紹介,
25,zh,我...岁,ウォー...スイ,...歳です,,,年齢,,,自己紹介,
26,zh,认识你很高兴,レンシニーヘンガオシン,はじめまして,,,初対面,,,自己紹介,
27,zh,星期一,シンチーイー,月曜日,,,,,,曜日,
28,zh,星期二,シンチーアル,火曜日,,,,,,曜日,
29,zh,星期三,シンチーサン,水曜日,,,,,,曜日,
30,zh,星期四,シンチースー,木曜日,,,,,,曜日,
31,zh,星期五,シンチーウー,金曜日,,,,,,曜日,
32,zh,星期六,シンチーリウ,土曜日,,,,,,曜日,
33,zh,星期天,シンチーティエン,日曜日,,,,,,曜日,
34,zh,今天,ジンティエン,今日,,,,,,曜日,
35,zh,明天,ミンティエン,明日,,,,,,曜日,
36,zh,昨天,ズオティエン,昨日,,,,,,曜日,
37,zh,零,リン,0,,,,,,数字,
38,zh,一,イー,1,,,,,,数字,
39,zh,二,アル,2,,,,,,数字,
40,zh,三,サン,3,,,,,,数字,
41,zh,四,スー,4,,,,,,数字,
42,zh,五,ウー,5,,,,,,数字,
43,zh,六,リウ,6,,,,,,数字,
44,zh,七,チー,7,,,,,,数字,
45,zh,八,バー,8,,,,,,数字,
46,zh,九,ジウ,9,,,,,,数字,
47,zh,十,シー,10,,,,,,数字,
48,zh,晴天,チンティエン,晴れ,,,天気,,,天気,
49,zh,阴天,インティエン,曇り,,,天気,,,天気,
50,zh,下雨,シアユー,雨,,,天気,,,天気,
51,zh,下雪,シアシュエ,雪,,,天気,,,天気,
52,zh,热,ルー,暑い,,,気温,,,天気,
53,zh,冷,ロン,寒い,,,気温,,,天気,
54,zh,春天,チュンティエン,春,,,,,,天気,
55,zh,夏天,シアティエン,夏,,,,,,天気,
56,zh,秋天,チウティエン,秋,,,,,,天気,
57,zh,冬天,ドンティエン,冬,,,,,,天気,
58,zh,吃,チー,食べる,,,動詞,,,食べ物,
59,zh,喝,フー,飲む,,,動詞,,,食べ物,
60,zh,我饿了,ウォーアーラ,お腹すいた,,,,,,食べ物,
61,zh,我渴了,ウォークーラ,喉が渇いた,,,,,,食べ物,
62,zh,我开动了,ウォーカイドンラ,いただきます,,,食事の挨拶,,,食べ物,
63,zh,好吃,ハオチー,おいしい,,,,,,食べ物,
64,zh,水,シュイ,水,,,,,,食べ物,
65,zh,咖啡,カーフェイ,コーヒー,,,,,,食べ物,
66,zh,茶,チャー,お茶,,,,,,食べ物,
67,zh,牛奶,ニウナイ,牛乳,,,,,,食べ物,
68,zh,啤酒,ピージウ,ビール,,,,,,食べ物,
69,zh,米饭,ミーファン,ご飯,,,,,,食べ物,
70,zh,面包,ミエンバオ,パン,,,,,,食べ物,
71,zh,肉,ロウ,肉,,,,,,食べ物,
72,zh,鱼,ユー,魚,,,,,,食べ物,
73,zh,蔬菜,シューツァイ,野菜,,,,,,食べ物,
74,zh,水果,シュイグオ,果物,,,,,,食べ物,
75,zh,早餐,ザオツァン,朝食,,,,,,食べ物,
76,zh,午餐,ウーツァン,昼食,,,,,,食べ物,
77,zh,晚餐,ワンツァン,夕食,,,,,,食べ物,
